City_ID,City,Country,Max Temp,Weather Description,Lat,Lng,Hotel Name
627,Oga,IT,50.0,overcast clouds,46.46,10.35,QC Terme Bagni di Bormio Bagni Nuovi
630,Severo-Yeniseyskiy,RU,31.28,overcast clouds,60.37,93.04,Aktolik
631,Jingdezhen,CN,58.86,overcast clouds,29.29,117.21,Garden Hotel
633,Totana,ES,60.01,clear sky,37.77,-1.5,Olimpia Hoteles
634,Bonavista,CA,36.0,clear sky,48.65,-53.11,Abbott's Bed & Breakfast
639,Putina,PE,47.37,broken clouds,-15.47,-69.43,Fishermans Guest House
641,Mantua,IT,55.0,few clouds,45.17,10.78,Hotel la Favorita
642,Mnogovershinnyy,RU,35.6,overcast clouds,53.94,139.92,Kvartsevaya Sopka
643,Rodez,FR,55.0,clear sky,44.5,2.58,Camping Glamping Terre Rouge
644,Severodvinsk,RU,32.0,overcast clouds,64.56,39.83,Park Hotel
645,Yumen,CN,26.38,clear sky,40.28,97.2,Park Hotel
647,Topola,RS,48.2,clear sky,44.25,20.68,Хотел „Опленац“ ДОО
649,Agadir,MA,60.8,clear sky,30.42,-9.6,Iberostar Founty Beach
655,Jining,CN,53.24,clear sky,35.41,116.58,Yunhe Star Hotel
661,Solnechnyy,RU,34.27,scattered clouds,50.72,136.63,Hotel complex Pastoral
664,Mende,FR,47.61,overcast clouds,44.67,3.5,Le Plateau du Roy
665,Kunming,CN,64.0,light intensity shower rain,25.04,102.72,昆明佳华广场酒店
666,Shunyi,CN,48.99,clear sky,40.12,116.65,Beijing Mingchen Holiday Hotel
667,Sidi Ali,DZ,60.44,clear sky,36.1,0.42,Beijing Mingchen Holiday Hotel
670,Smithers,CA,51.8,overcast clouds,54.78,-127.17,Prestige Hudson Bay Lodge
673,Katangli,RU,44.11,light rain,51.71,143.23,Prestige Hudson Bay Lodge
675,Kamyshevatskaya,RU,55.56,scattered clouds,46.41,37.96,Gostevoy Dom Lotos-Lend
676,Ilek,RU,41.45,scattered clouds,51.53,53.38,Avtostantsiya
677,Talara,PE,63.41,broken clouds,-4.58,-81.27,Hostal Oro Negro
678,Abaza,RU,27.88,broken clouds,52.66,90.09,Гостевой дом «Кедровый»
679,La Ronge,CA,41.0,overcast clouds,55.1,-105.28,Northland Motor Hotel
680,Moskovskiy,RU,41.0,mist,55.6,37.35,Nmc Apart
684,Saluzzo,IT,50.0,fog,44.65,7.49,Antico Podere Propano
686,Skelleftea,SE,45.0,drizzle,64.75,20.95,Quality Hotel Skellefteå Stadshotell
687,Olga,RU,43.41,scattered clouds,43.74,135.29,Gostinitsa Rosmorport.
689,Shetpe,KZ,54.5,clear sky,44.17,52.12,Rtsm Shetpe Analog
691,Hammerfest,NO,42.8,clear sky,70.66,23.68,Skytterhuset
692,Farsund,NO,51.01,light rain,58.09,6.8,Farsund Fjordhotel
696,Ponta Delgada,PT,62.6,light intensity shower rain,37.73,-25.67,Vila Nova Hotel
697,Tornio,FI,44.6,overcast clouds,65.85,24.15,Park Hotel Tornio
698,Raudeberg,NO,46.99,moderate rain,61.99,5.14,Nordre Silda.
702,Pinsk,BY,38.07,clear sky,52.12,26.1,Smart Business Hotel
703,Dalbandin,PK,47.7,clear sky,28.89,64.41,Police station anti NARCOTICS FORCE
704,Yelizovo,RU,35.6,few clouds,53.19,158.38,Kamchatskiy Stil' Hostel
